nohup: ignoring input
26 Mar 2018 02:00:13,843 DEBUG - Graphulo.TwoTable(738) -  681142%00; :%00; [1] -> 1260658 entries processed
26 Mar 2018 02:00:14,525 DEBUG - Graphulo.TwoTable(738) -  112574%00; :%00; [1] -> 266012 entries processed
26 Mar 2018 02:00:14,525 DEBUG - Graphulo.TwoTable(738) -  137861%00; :%00; [1] -> 425310 entries processed
26 Mar 2018 02:00:14,536 DEBUG - Graphulo.TwoTable(738) -  369472%00; :%00; [1] -> 527748 entries processed
26 Mar 2018 02:00:14,536 DEBUG - Graphulo.TwoTable(738) -  3883%00; :%00; [1] -> 676012 entries processed
26 Mar 2018 02:00:14,550 DEBUG - Graphulo.TwoTable(738) -  747%00; :%00; [1] -> 15526 entries processed
26 Mar 2018 02:00:14,550 DEBUG - Graphulo.TwoTable(738) -  44051%00; :%00; [1] -> 459856 entries processed
26 Mar 2018 02:00:14,562 DEBUG - Graphulo.TwoTable(738) -  167069%00; :%00; [1] -> 69192 entries processed
26 Mar 2018 02:00:14,562 DEBUG - Graphulo.TwoTable(738) -  190079%00; :%00; [1] -> 473240 entries processed
26 Mar 2018 02:00:14,706 DEBUG - Graphulo.TwoTable(738) -  233660%00; :%00; [1] -> 1011330 entries processed
26 Mar 2018 02:00:14,706 DEBUG - Graphulo.TwoTable(738) -  5426%00; :%00; [1] -> 637732 entries processed
26 Mar 2018 02:00:14,777 DEBUG - Graphulo.TwoTable(738) -  91959%00; :%00; [1] -> 965324 entries processed
26 Mar 2018 02:00:14,778 DEBUG - Graphulo.TwoTable(738) -  64017%00; :%00; [1] -> 834846 entries processed
26 Mar 2018 02:00:15,007 DEBUG - Graphulo.TwoTable(738) -  62550%00; :%00; [1] -> 344222 entries processed
26 Mar 2018 02:00:15,007 DEBUG - Graphulo.TwoTable(738) -  4373%00; :%00; [1] -> 504404 entries processed
26 Mar 2018 02:00:15,077 DEBUG - Graphulo.TwoTable(738) -  77328%00; :%00; [1] -> 1028454 entries processed
26 Mar 2018 02:00:15,077 DEBUG - Graphulo.TwoTable(738) -  78227%00; :%00; [1] -> 771020 entries processed
26 Mar 2018 02:00:15,187 DEBUG - Graphulo.TwoTable(738) -  226687%00; :%00; [1] -> 59962 entries processed
26 Mar 2018 02:00:15,187 DEBUG - Graphulo.TwoTable(738) -  23071%00; :%00; [1] -> 658088 entries processed
26 Mar 2018 02:00:15,605 DEBUG - Graphulo.TwoTable(738) -  833455%00; :%00; [1] -> 630070 entries processed
26 Mar 2018 02:00:15,605 DEBUG - Graphulo.TwoTable(738) -  469431%00; :%00; [1] -> 1608066 entries processed
26 Mar 2018 02:00:15,611 DEBUG - Graphulo.TwoTable(738) -  1024068%00; :%00; [1] -> 33824 entries processed
26 Mar 2018 02:00:15,611 DEBUG - Graphulo.TwoTable(738) -  21340%00; :%00; [1] -> 1296056 entries processed
26 Mar 2018 02:00:15,749 DEBUG - Graphulo.TwoTable(738) -  64201%00; :%00; [1] -> 371994 entries processed
26 Mar 2018 02:00:15,750 DEBUG - Graphulo.TwoTable(738) -  655933%00; :%00; [1] -> 1028892 entries processed
26 Mar 2018 02:00:15,763 DEBUG - Graphulo.TwoTable(738) -  670923%00; :%00; [1] -> 465392 entries processed
26 Mar 2018 02:00:15,763 DEBUG - Graphulo.TwoTable(738) -  670353%00; :%00; [1] -> 403410 entries processed
26 Mar 2018 02:00:15,805 DEBUG - Graphulo.TwoTable(738) -  249392%00; :%00; [1] -> 169276 entries processed
26 Mar 2018 02:00:15,805 DEBUG - Graphulo.TwoTable(738) -  77594%00; :%00; [1] -> 1128680 entries processed
26 Mar 2018 02:00:15,822 DEBUG - Graphulo.TwoTable(738) -  11997%00; :%00; [1] -> 379436 entries processed
26 Mar 2018 02:00:15,822 DEBUG - Graphulo.TwoTable(738) -  158908%00; :%00; [1] -> 878418 entries processed
26 Mar 2018 02:00:16,030 DEBUG - Graphulo.TwoTable(738) -  21160%00; :%00; [1] -> 8086234 entries processed
26 Mar 2018 02:00:16,070 DEBUG - Graphulo.TwoTable(738) -  656427%00; :%00; [1] -> 582498 entries processed
26 Mar 2018 02:00:16,071 DEBUG - Graphulo.TwoTable(738) -  1010945%00; :%00; [1] -> 1238040 entries processed
26 Mar 2018 02:00:16,385 DEBUG - Graphulo.TwoTable(738) -  108810%00; :%00; [1] -> 84 entries processed
26 Mar 2018 02:00:16,972 DEBUG - Graphulo.TwoTable(738) -  792250%00; :%00; [1] -> 256196 entries processed
26 Mar 2018 02:00:17,023 DEBUG - Graphulo.TwoTable(738) -  126113%00; :%00; [1] -> 296086 entries processed
26 Mar 2018 02:00:17,263 DEBUG - Graphulo.TwoTable(738) -  1491%00; :%00; [1] -> 69192 entries processed
26 Mar 2018 02:00:17,499 DEBUG - Graphulo.TwoTable(738) -  21661%00; :%00; [1] -> 511054 entries processed
26 Mar 2018 02:00:17,500 DEBUG - Graphulo.TwoTable(738) -  4947%00; :%00; [1] -> 1579206 entries processed
26 Mar 2018 02:00:17,625 DEBUG - Graphulo.TwoTable(738) -  882%00; :%00; [1] -> 541110 entries processed
26 Mar 2018 02:00:18,609 DEBUG - Graphulo.TwoTable(738) -  93931%00; :%00; [1] -> 398416 entries processed
26 Mar 2018 02:00:19,696 DEBUG - Graphulo.TwoTable(738) -  114058%00; :%00; [1] -> 56246 entries processed
26 Mar 2018 02:00:19,697 DEBUG - Graphulo.TwoTable(738) -  118287%00; :%00; [1] -> 3782402 entries processed
26 Mar 2018 02:00:19,780 DEBUG - Graphulo.TwoTable(738) -  1262%00; :%00; [1] -> 81808 entries processed
26 Mar 2018 02:00:19,781 DEBUG - Graphulo.TwoTable(738) -  3917%00; :%00; [1] -> 161448 entries processed
26 Mar 2018 02:00:19,781 DEBUG - Graphulo.TwoTable(738) -  16607%00; :%00; [1] -> 48598 entries processed
26 Mar 2018 02:00:19,781 DEBUG - Graphulo.TwoTable(738) -  214374%00; :%00; [1] -> 5027982 entries processed
26 Mar 2018 02:00:20,417 DEBUG - Graphulo.TwoTable(738) -  8840%00; :%00; [1] -> 19540 entries processed
26 Mar 2018 02:00:20,417 DEBUG - Graphulo.TwoTable(738) -  698983%00; :%00; [1] -> 1141030 entries processed
26 Mar 2018 02:00:20,600 DEBUG - Graphulo.TwoTable(738) -  96396%00; :%00; [1] -> 177210 entries processed
26 Mar 2018 02:00:21,100 DEBUG - Graphulo.TwoTable(738) -  638368%00; :%00; [1] -> 224416 entries processed
26 Mar 2018 02:00:21,160 DEBUG - Graphulo.TwoTable(738) -  157932%00; :%00; [1] -> 423804 entries processed
26 Mar 2018 02:00:21,160 DEBUG - Graphulo.TwoTable(738) -  6300%00; :%00; [1] -> 2184862 entries processed
26 Mar 2018 02:00:21,379 DEBUG - Graphulo.TwoTable(738) -  26949%00; :%00; [1] -> 879344 entries processed
26 Mar 2018 02:00:21,380 DEBUG - Graphulo.TwoTable(738) -  67584%00; :%00; [1] -> 86868 entries processed
26 Mar 2018 02:00:21,406 DEBUG - Graphulo.TwoTable(738) -  33826%00; :%00; [1] -> 301256 entries processed
26 Mar 2018 02:00:21,407 DEBUG - Graphulo.TwoTable(738) -  36554%00; :%00; [1] -> 209954 entries processed
26 Mar 2018 02:00:21,526 DEBUG - Graphulo.TwoTable(738) -  77343%00; :%00; [1] -> 159752 entries processed
26 Mar 2018 02:00:21,527 DEBUG - Graphulo.TwoTable(738) -  97046%00; :%00; [1] -> 148990 entries processed
26 Mar 2018 02:00:21,531 DEBUG - Graphulo.TwoTable(738) -  20229%00; :%00; [1] -> 850582 entries processed
26 Mar 2018 02:00:21,531 DEBUG - Graphulo.TwoTable(738) -  95612%00; :%00; [1] -> 658636 entries processed
26 Mar 2018 02:00:21,540 DEBUG - Graphulo.TwoTable(738) -  104544%00; :%00; [1] -> 160382 entries processed
26 Mar 2018 02:00:21,541 DEBUG - Graphulo.TwoTable(738) -  796566%00; :%00; [1] -> 173038 entries processed
26 Mar 2018 02:00:21,554 DEBUG - Graphulo.TwoTable(738) -  21242%00; :%00; [1] -> 387926 entries processed
26 Mar 2018 02:00:21,554 DEBUG - Graphulo.TwoTable(738) -  303637%00; :%00; [1] -> 434128 entries processed
26 Mar 2018 02:00:21,580 DEBUG - Graphulo.TwoTable(738) -  78623%00; :%00; [1] -> 504174 entries processed
26 Mar 2018 02:00:21,581 DEBUG - Graphulo.TwoTable(738) -  104197%00; :%00; [1] -> 1036080 entries processed
26 Mar 2018 02:00:21,703 DEBUG - Graphulo.TwoTable(738) -  53776%00; :%00; [1] -> 28326 entries processed
26 Mar 2018 02:00:21,704 DEBUG - Graphulo.TwoTable(738) -  2106%00; :%00; [1] -> 805134 entries processed
26 Mar 2018 02:00:21,960 DEBUG - Graphulo.TwoTable(738) -  425084%00; :%00; [1] -> 315842 entries processed
26 Mar 2018 02:00:22,112 DEBUG - Graphulo.TwoTable(738) -  65499%00; :%00; [1] -> 20522 entries processed
26 Mar 2018 02:00:22,113 DEBUG - Graphulo.TwoTable(738) -  93975%00; :%00; [1] -> 3606978 entries processed
26 Mar 2018 02:00:22,131 DEBUG - Graphulo.TwoTable(738) -  681308%00; :%00; [1] -> 953582 entries processed
26 Mar 2018 02:00:22,131 DEBUG - Graphulo.TwoTable(738) -  689116%00; :%00; [1] -> 183642 entries processed
26 Mar 2018 02:00:22,148 DEBUG - Graphulo.TwoTable(738) -  149622%00; :%00; [1] -> 3676 entries processed
26 Mar 2018 02:00:22,148 DEBUG - Graphulo.TwoTable(738) -  171091%00; :%00; [1] -> 221242 entries processed
26 Mar 2018 02:00:22,193 DEBUG - Graphulo.TwoTable(738) -  30949%00; :%00; [1] -> 4910850 entries processed
26 Mar 2018 02:00:22,553 DEBUG - Graphulo.TwoTable(738) -  20798%00; :%00; [1] -> 779668 entries processed
26 Mar 2018 02:00:22,708 DEBUG - Graphulo.TwoTable(738) -  713799%00; :%00; [1] -> 897562 entries processed
26 Mar 2018 02:00:22,709 DEBUG - Graphulo.TwoTable(738) -  7236%00; :%00; [1] -> 1126114 entries processed
26 Mar 2018 02:00:22,727 DEBUG - Graphulo.TwoTable(738) -  672656%00; :%00; [1] -> 175494 entries processed
26 Mar 2018 02:00:22,727 DEBUG - Graphulo.TwoTable(738) -  71650%00; :%00; [1] -> 557776 entries processed
26 Mar 2018 02:00:22,768 DEBUG - Graphulo.TwoTable(738) -  108624%00; :%00; [1] -> 88066 entries processed
26 Mar 2018 02:00:22,768 DEBUG - Graphulo.TwoTable(738) -  366621%00; :%00; [1] -> 1511806 entries processed
26 Mar 2018 02:00:22,824 DEBUG - Graphulo.TwoTable(738) -  33081%00; :%00; [1] -> 20498 entries processed
26 Mar 2018 02:00:22,824 DEBUG - Graphulo.TwoTable(738) -  28233%00; :%00; [1] -> 172188 entries processed
26 Mar 2018 02:00:23,239 DEBUG - Graphulo.TwoTable(738) -  50255%00; :%00; [1] -> 59036 entries processed
26 Mar 2018 02:00:23,318 DEBUG - Graphulo.TwoTable(738) -  5243%00; :%00; [1] -> 19854 entries processed
26 Mar 2018 02:00:23,318 DEBUG - Graphulo.TwoTable(738) -  483277%00; :%00; [1] -> 413522 entries processed
26 Mar 2018 02:00:23,322 DEBUG - Graphulo.TwoTable(738) -  2283%00; :%00; [1] -> 12772 entries processed
26 Mar 2018 02:00:23,322 DEBUG - Graphulo.TwoTable(738) -  317863%00; :%00; [1] -> 1032564 entries processed
26 Mar 2018 02:00:23,459 DEBUG - Graphulo.TwoTable(738) -  20617%00; :%00; [1] -> 409724 entries processed
26 Mar 2018 02:00:23,640 DEBUG - Graphulo.TwoTable(738) -  113680%00; :%00; [1] -> 274426 entries processed
26 Mar 2018 02:00:23,640 DEBUG - Graphulo.TwoTable(738) -  358935%00; :%00; [1] -> 363632 entries processed
26 Mar 2018 02:00:23,730 DEBUG - Graphulo.TwoTable(738) -  22718%00; :%00; [1] -> 114802 entries processed
26 Mar 2018 02:00:23,730 DEBUG - Graphulo.TwoTable(738) -  30026%00; :%00; [1] -> 1081098 entries processed
26 Mar 2018 02:00:23,957 DEBUG - Graphulo.TwoTable(738) -  38574%00; :%00; [1] -> 25646 entries processed
26 Mar 2018 02:00:23,992 DEBUG - Graphulo.TwoTable(738) -  1975%00; :%00; [1] -> 79354 entries processed
26 Mar 2018 02:00:23,993 DEBUG - Graphulo.TwoTable(738) -  198260%00; :%00; [1] -> 5057334 entries processed
26 Mar 2018 02:00:24,086 DEBUG - Graphulo.TwoTable(738) -  436070%00; :%00; [1] -> 106290 entries processed
26 Mar 2018 02:00:24,086 DEBUG - Graphulo.TwoTable(738) -  37968%00; :%00; [1] -> 1569170 entries processed
26 Mar 2018 02:00:24,267 DEBUG - Graphulo.TwoTable(738) -  231361%00; :%00; [1] -> 4854744 entries processed
26 Mar 2018 02:00:24,379 DEBUG - Graphulo.TwoTable(738) -  176953%00; :%00; [1] -> 286762 entries processed
26 Mar 2018 02:00:24,379 DEBUG - Graphulo.TwoTable(738) -  1045841%00; :%00; [1] -> 1799744 entries processed
26 Mar 2018 02:00:24,404 DEBUG - Graphulo.TwoTable(738) -  38429%00; :%00; [1] -> 67654 entries processed
26 Mar 2018 02:00:24,405 DEBUG - Graphulo.TwoTable(738) -  1073760%00; :%00; [1] -> 13362 entries processed
26 Mar 2018 02:00:24,405 DEBUG - Graphulo.TwoTable(738) -  3678%00; :%00; [1] -> 211418 entries processed
26 Mar 2018 02:00:24,485 DEBUG - Graphulo.TwoTable(738) -  2421%00; :%00; [1] -> 3664750 entries processed
26 Mar 2018 02:00:24,578 DEBUG - Graphulo.TwoTable(738) -  47795%00; :%00; [1] -> 760886 entries processed
26 Mar 2018 02:00:24,579 DEBUG - Graphulo.TwoTable(738) -  79253%00; :%00; [1] -> 32516 entries processed
26 Mar 2018 02:00:24,588 DEBUG - Graphulo.TwoTable(738) -  58007%00; :%00; [1] -> 297072 entries processed
26 Mar 2018 02:00:24,593 DEBUG - Graphulo.TwoTable(738) -  404519%00; :%00; [1] -> 782708 entries processed
26 Mar 2018 02:00:24,597 DEBUG - Graphulo.TwoTable(738) -  735182%00; :%00; [1] -> 195654 entries processed
26 Mar 2018 02:00:24,695 DEBUG - Graphulo.TwoTable(738) -  207249%00; :%00; [1] -> 229096 entries processed
26 Mar 2018 02:00:24,695 DEBUG - Graphulo.TwoTable(738) -  20829%00; :%00; [1] -> 85852 entries processed
26 Mar 2018 02:00:24,850 DEBUG - Graphulo.TwoTable(738) -  38344%00; :%00; [1] -> 2422224 entries processed
26 Mar 2018 02:00:24,933 DEBUG - Graphulo.TwoTable(738) -  33605%00; :%00; [1] -> 464722 entries processed
26 Mar 2018 02:00:26,038 DEBUG - Graphulo.TwoTable(738) -  7926%00; :%00; [1] -> 575898 entries processed
26 Mar 2018 02:00:26,038 DEBUG - Graphulo.TwoTable(738) -  43967%00; :%00; [1] -> 8225364 entries processed
26 Mar 2018 02:00:26,259 DEBUG - Graphulo.TwoTable(738) -  77839%00; :%00; [1] -> 3546050 entries processed
26 Mar 2018 02:00:27,216 DEBUG - Graphulo.TwoTable(738) -  2214%00; :%00; [1] -> 38414 entries processed
26 Mar 2018 02:00:27,216 DEBUG - Graphulo.TwoTable(738) -  29585%00; :%00; [1] -> 196714 entries processed
26 Mar 2018 02:00:27,310 DEBUG - Graphulo.TwoTable(738) -  720630%00; :%00; [1] -> 3663500 entries processed
26 Mar 2018 02:00:27,439 DEBUG - Graphulo.TwoTable(738) -  8515%00; :%00; [1] -> 20404 entries processed
26 Mar 2018 02:00:27,440 DEBUG - Graphulo.TwoTable(738) -  79559%00; :%00; [1] -> 273524 entries processed
26 Mar 2018 02:00:27,493 DEBUG - Graphulo.TwoTable(738) -  1846%00; :%00; [1] -> 1248 entries processed
26 Mar 2018 02:00:27,493 DEBUG - Graphulo.TwoTable(738) -  177242%00; :%00; [1] -> 137880 entries processed
26 Mar 2018 02:00:27,508 DEBUG - Graphulo.TwoTable(738) -  263346%00; :%00; [1] -> 473002 entries processed
26 Mar 2018 02:00:27,509 DEBUG - Graphulo.TwoTable(738) -  87628%00; :%00; [1] -> 12494 entries processed
26 Mar 2018 02:00:27,537 DEBUG - Graphulo.TwoTable(738) -  72400%00; :%00; [1] -> 268816 entries processed
26 Mar 2018 02:00:27,537 DEBUG - Graphulo.TwoTable(738) -  27710%00; :%00; [1] -> 2182518 entries processed
26 Mar 2018 02:00:27,555 DEBUG - Graphulo.TwoTable(738) -  1004284%00; :%00; [1] -> 27936 entries processed
26 Mar 2018 02:00:27,556 DEBUG - Graphulo.TwoTable(738) -  175310%00; :%00; [1] -> 101864 entries processed
26 Mar 2018 02:00:27,695 DEBUG - Graphulo.TwoTable(738) -  1273%00; :%00; [1] -> 3987080 entries processed
26 Mar 2018 02:00:27,718 DEBUG - Graphulo.TwoTable(738) -  7828%00; :%00; [1] -> 182218 entries processed
26 Mar 2018 02:00:27,719 DEBUG - Graphulo.TwoTable(738) -  90499%00; :%00; [1] -> 994680 entries processed
26 Mar 2018 02:00:27,722 DEBUG - Graphulo.TwoTable(738) -  20388%00; :%00; [1] -> 522186 entries processed
26 Mar 2018 02:00:27,722 DEBUG - Graphulo.TwoTable(738) -  23632%00; :%00; [1] -> 1309866 entries processed
26 Mar 2018 02:00:27,729 DEBUG - Graphulo.TwoTable(738) -  79771%00; :%00; [1] -> 588588 entries processed
26 Mar 2018 02:00:27,730 DEBUG - Graphulo.TwoTable(738) -  6690%00; :%00; [1] -> 165534 entries processed
26 Mar 2018 02:00:27,770 DEBUG - Graphulo.TwoTable(738) -  30219%00; :%00; [1] -> 301308 entries processed
26 Mar 2018 02:00:27,773 DEBUG - Graphulo.TwoTable(738) -  610477%00; :%00; [1] -> 253150 entries processed
26 Mar 2018 02:00:27,773 DEBUG - Graphulo.TwoTable(738) -  123843%00; :%00; [1] -> 393806 entries processed
26 Mar 2018 02:00:27,854 DEBUG - Graphulo.TwoTable(738) -  60996%00; :%00; [1] -> 27720 entries processed
26 Mar 2018 02:00:27,854 DEBUG - Graphulo.TwoTable(738) -  650946%00; :%00; [1] -> 3275140 entries processed
26 Mar 2018 02:00:27,878 DEBUG - Graphulo.TwoTable(738) -  395548%00; :%00; [1] -> 1247316 entries processed
26 Mar 2018 02:00:27,879 DEBUG - Graphulo.TwoTable(738) -  660362%00; :%00; [1] -> 81382 entries processed
26 Mar 2018 02:00:27,885 DEBUG - Graphulo.TwoTable(738) -  5178%00; :%00; [1] -> 224474 entries processed
26 Mar 2018 02:00:27,886 DEBUG - Graphulo.TwoTable(738) -  503750%00; :%00; [1] -> 490186 entries processed
26 Mar 2018 02:00:27,894 DEBUG - Graphulo.TwoTable(738) -  2880%00; :%00; [1] -> 11412 entries processed
26 Mar 2018 02:00:27,894 DEBUG - Graphulo.TwoTable(738) -  364312%00; :%00; [1] -> 227142 entries processed
26 Mar 2018 02:00:27,903 DEBUG - Graphulo.TwoTable(738) -  526286%00; :%00; [1] -> 1400330 entries processed
26 Mar 2018 02:00:27,911 DEBUG - Graphulo.TwoTable(738) -  1033612%00; :%00; [1] -> 555500 entries processed
26 Mar 2018 02:00:27,911 DEBUG - Graphulo.TwoTable(738) -  24709%00; :%00; [1] -> 1566152 entries processed
26 Mar 2018 02:00:27,957 DEBUG - Graphulo.TwoTable(738) -  77276%00; :%00; [1] -> 8120766 entries processed
26 Mar 2018 02:00:28,619 DEBUG - Graphulo.TwoTable(738) -  805982%00; :%00; [1] -> 4006002 entries processed
26 Mar 2018 02:00:30,298 DEBUG - Graphulo.TwoTable(738) -  2963%00; :%00; [1] -> 174422 entries processed
26 Mar 2018 02:00:30,298 DEBUG - Graphulo.TwoTable(738) -  33542%00; :%00; [1] -> 28890 entries processed
26 Mar 2018 02:00:30,837 DEBUG - Graphulo.TwoTable(738) -  290684%00; :%00; [1] -> 108164 entries processed
26 Mar 2018 02:00:30,901 DEBUG - Graphulo.TwoTable(738) -  24254%00; :%00; [1] -> 283172 entries processed
26 Mar 2018 02:00:30,901 DEBUG - Graphulo.TwoTable(738) -  77130%00; :%00; [1] -> 66 entries processed
26 Mar 2018 02:00:31,619 DEBUG - Graphulo.TwoTable(738) -  3458%00; :%00; [1] -> 386 entries processed
26 Mar 2018 02:00:31,619 DEBUG - Graphulo.TwoTable(738) -  36073%00; :%00; [1] -> 17738 entries processed
26 Mar 2018 02:00:31,728 DEBUG - Graphulo.TwoTable(738) -  1028841%00; :%00; [1] -> 487154 entries processed
26 Mar 2018 02:00:31,874 DEBUG - Graphulo.TwoTable(738) -  94027%00; :%00; [1] -> 156922 entries processed
26 Mar 2018 02:00:31,875 DEBUG - Graphulo.TwoTable(738) -  124%00; :%00; [1] -> 1404254 entries processed
26 Mar 2018 02:00:31,892 DEBUG - Graphulo.TwoTable(738) -  4517%00; :%00; [1] -> 2607542 entries processed
26 Mar 2018 02:00:31,913 DEBUG - Graphulo.TwoTable(738) -  66350%00; :%00; [1] -> 976474 entries processed
26 Mar 2018 02:00:31,972 DEBUG - Graphulo.TwoTable(738) -  100621%00; :%00; [1] -> 112486 entries processed
26 Mar 2018 02:00:31,982 DEBUG - Graphulo.TwoTable(738) -  192715%00; :%00; [1] -> 123256 entries processed
26 Mar 2018 02:00:31,983 DEBUG - Graphulo.TwoTable(738) -  105478%00; :%00; [1] -> 199326 entries processed
26 Mar 2018 02:00:31,993 DEBUG - Graphulo.TwoTable(738) -  4821%00; :%00; [1] -> 36376 entries processed
26 Mar 2018 02:00:31,993 DEBUG - Graphulo.TwoTable(738) -  21473%00; :%00; [1] -> 45050 entries processed
26 Mar 2018 02:00:31,994 DEBUG - Graphulo.TwoTable(738) -  9960%00; :%00; [1] -> 32768 entries processed
26 Mar 2018 02:00:32,061 DEBUG - Graphulo.TwoTable(738) -  382158%00; :%00; [1] -> 66450 entries processed
26 Mar 2018 02:00:32,061 DEBUG - Graphulo.TwoTable(738) -  1064%00; :%00; [1] -> 66832 entries processed
26 Mar 2018 02:00:32,072 DEBUG - Graphulo.TwoTable(738) -  840%00; :%00; [1] -> 14226 entries processed
26 Mar 2018 02:00:32,073 DEBUG - Graphulo.TwoTable(738) -  705289%00; :%00; [1] -> 360206 entries processed
